"Path","Name","Width","Height","Length"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\_morale_col0.png","_morale_col0.png","192","155","45159"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\_morale_col3.png","_morale_col3.png","192","155","51378"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\_morale_col7.png","_morale_col7.png","192","155","24780"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\_morale_full_row.png","_morale_full_row.png","1536","155","366374"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\campus_founding_hall_day.png","campus_founding_hall_day.png","1280","720","2391074"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\campus_founding_hall_night.png","campus_founding_hall_night.png","1280","720","1909351"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\campus_founding_hall_winter.png","campus_founding_hall_winter.png","1280","720","2476116"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\interior_library.png","interior_library.png","1280","720","2234532"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\interior_scriptorium.png","interior_scriptorium.png","1280","720","2117039"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\screen_loading.png","screen_loading.png","1280","720","1550823"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\title_background.png","title_background.png","1280","720","2141954"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\backgrounds\worldmap_base.png","worldmap_base.png","960","540","1255133"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_archive_vault.png","building_archive_vault.png","256","350","165026"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_founders_tower.png","building_founders_tower.png","256","350","168638"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_founding_hall.png","building_founding_hall.png","307","380","215480"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_guest_quarters.png","building_guest_quarters.png","256","350","164246"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_library.png","building_library.png","307","380","201611"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_music_hall.png","building_music_hall.png","307","380","168327"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_observatory.png","building_observatory.png","307","380","201569"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_public_hall.png","building_public_hall.png","256","350","178546"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\building_scriptorium_wing.png","building_scriptorium_wing.png","256","350","169512"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\prop_garden.png","prop_garden.png","308","380","192880"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\buildings\prop_teaching_courtyard.png","prop_teaching_courtyard.png","256","350","161388"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_a_idle.png","scholar_generic_a_idle.png","153","209","57936"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_b_idle.png","scholar_generic_b_idle.png","153","209","60625"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_c_idle.png","scholar_generic_c_idle.png","153","209","62776"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_d.png","scholar_generic_d.png","153","209","63137"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_e.png","scholar_generic_e.png","153","209","57833"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_f.png","scholar_generic_f.png","153","209","62235"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_g.png","scholar_generic_g.png","153","209","62590"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_generic_h.png","scholar_generic_h.png","159","209","55695"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_harlow_idle.png","scholar_harlow_idle.png","1024","308","489110"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_harlow_react.png","scholar_harlow_react.png","448","179","143046"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_harlow_sit.png","scholar_harlow_sit.png","442","179","133370"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_harlow_walk.png","scholar_harlow_walk.png","884","179","262920"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_meridian_idle.png","scholar_meridian_idle.png","1024","307","480890"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_meridian_react.png","scholar_meridian_react.png","448","177","138513"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_meridian_sit.png","scholar_meridian_sit.png","442","177","120497"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_meridian_walk.png","scholar_meridian_walk.png","884","177","258978"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_ossavi_idle.png","scholar_ossavi_idle.png","1024","307","490269"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_ossavi_react.png","scholar_ossavi_react.png","448","177","139318"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_ossavi_sit.png","scholar_ossavi_sit.png","442","177","120231"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_ossavi_walk.png","scholar_ossavi_walk.png","884","177","256517"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_vasara_idle.png","scholar_vasara_idle.png","1024","307","528463"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_vasara_react.png","scholar_vasara_react.png","448","177","148755"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_vasara_sit.png","scholar_vasara_sit.png","442","177","134785"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_vasara_walk.png","scholar_vasara_walk.png","884","177","276680"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_yildiz_idle.png","scholar_yildiz_idle.png","1024","307","488501"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_yildiz_react.png","scholar_yildiz_react.png","448","177","140850"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_yildiz_sit.png","scholar_yildiz_sit.png","442","177","123519"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\scholar_yildiz_walk.png","scholar_yildiz_walk.png","884","177","268792"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\student_idle.png","student_idle.png","153","209","58314"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\characters\student_walk.png","student_walk.png","153","209","57436"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\cursors\cursor_click.png","cursor_click.png","16","24","704"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\cursors\cursor_default.png","cursor_default.png","16","24","1234"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\cursors\cursor_hover.png","cursor_hover.png","16","24","1189"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\fx\fx_candle_flame.png","fx_candle_flame.png","48","12","1452"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\fx\fx_gold_sparkle.png","fx_gold_sparkle.png","96","16","2359"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\fx\fx_ink_splatter.png","fx_ink_splatter.png","160","32","7613"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\fx\fx_work_progress.png","fx_work_progress.png","32","8","403"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_court_scholar.png","badge_archetype_court_scholar.png","48","48","4400"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_institutional_builder.png","badge_archetype_institutional_builder.png","48","48","2770"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_kindler.png","badge_archetype_kindler.png","48","48","4354"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_master_craftsperson.png","badge_archetype_master_craftsperson.png","48","48","3851"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_mathematical_mind.png","badge_archetype_mathematical_mind.png","48","48","3784"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_natural_philosopher.png","badge_archetype_natural_philosopher.png","48","48","2930"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_oral_keeper.png","badge_archetype_oral_keeper.png","48","48","4421"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_political_theorist.png","badge_archetype_political_theorist.png","48","48","4216"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_pragmatic_chronicler.png","badge_archetype_pragmatic_chronicler.png","48","48","4172"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_skeptical_empiricist.png","badge_archetype_skeptical_empiricist.png","48","48","2907"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_spiritual_composer.png","badge_archetype_spiritual_composer.png","48","48","4133"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_theological_debater.png","badge_archetype_theological_debater.png","48","48","4442"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\badge_archetype_wandering_mystic.png","badge_archetype_wandering_mystic.png","48","48","3779"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_architectural_plans.png","icon_format_architectural_plans.png","64","64","9973"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_atlas.png","icon_format_atlas.png","64","64","9217"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_chronicle.png","icon_format_chronicle.png","64","64","9515"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_commentary.png","icon_format_commentary.png","64","64","9496"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_correspondence.png","icon_format_correspondence.png","64","64","9886"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_encyclopedia.png","icon_format_encyclopedia.png","64","64","9399"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_epic_poetry.png","icon_format_epic_poetry.png","64","64","9589"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_field_survey.png","icon_format_field_survey.png","64","64","9909"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_handbook.png","icon_format_handbook.png","64","64","10333"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_hymn.png","icon_format_hymn.png","64","64","9680"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_illuminated_manuscript.png","icon_format_illuminated_manuscript.png","64","64","9375"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_lecture.png","icon_format_lecture.png","64","64","9892"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_musical_composition.png","icon_format_musical_composition.png","64","64","9603"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_philosophical_treatise.png","icon_format_philosophical_treatise.png","64","64","9552"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_propaganda_pamphlet.png","icon_format_propaganda_pamphlet.png","64","64","9548"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_sacred_text.png","icon_format_sacred_text.png","64","64","9514"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_scientific_compendium.png","icon_format_scientific_compendium.png","64","64","9860"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_format_stage_performance.png","icon_format_stage_performance.png","64","64","9758"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_patron_community.png","icon_patron_community.png","64","64","4893"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_patron_merchant.png","icon_patron_merchant.png","64","64","9269"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_patron_ruler.png","icon_patron_ruler.png","64","64","7924"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_patron_scholarly.png","icon_patron_scholarly.png","64","64","9335"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_patron_temple.png","icon_patron_temple.png","64","64","5272"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_architecture.png","icon_topic_architecture.png","64","64","7967"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_astronomy.png","icon_topic_astronomy.png","64","64","8003"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_cartography.png","icon_topic_cartography.png","64","64","8073"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_education.png","icon_topic_education.png","64","64","8357"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_engineering.png","icon_topic_engineering.png","64","64","8287"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_history.png","icon_topic_history.png","64","64","8010"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_law.png","icon_topic_law.png","64","64","8219"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_literature.png","icon_topic_literature.png","64","64","7704"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_mathematics.png","icon_topic_mathematics.png","64","64","8110"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_medicine.png","icon_topic_medicine.png","64","64","8305"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_music.png","icon_topic_music.png","64","64","8111"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_mysticism.png","icon_topic_mysticism.png","64","64","7429"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_natural_history.png","icon_topic_natural_history.png","64","64","8355"
